Date,AQI,NO,NO2,NOX,PM10,PM2.5,RH,Temp ,WS
2017-05-31,0.0,12.066666666666665,11.529166666666669,23.583333333333332,12.320833333333333,0.0,85.29166666666667,12.458333333333334,0.9708333333333332
2017-06-01,0.0,15.683333333333332,13.225,28.912499999999998,12.491666666666667,0.0,83.0625,12.375,0.9208333333333333
2017-06-02,0.0,1.7999999999999998,9.5375,11.329166666666667,5.0125,0.0,84.75833333333333,13.5,2.4875
2017-06-03,0.0,1.0333333333333334,3.154166666666667,4.183333333333334,5.000000000000001,0.0,76.45,12.708333333333334,2.9791666666666656
2017-06-04,0.0,6.183333333333333,7.6875,13.862499999999997,20.29583333333333,0.0,78.82916666666668,10.625,1.0416666666666667
2017-06-05,0.0,7.820833333333334,8.679166666666665,16.495833333333334,22.7,0.0,84.47916666666666,10.416666666666666,1.0833333333333333
2017-06-06,0.0,15.379166666666668,13.695833333333333,29.079166666666666,11.666666666666666,0.0,89.52083333333333,9.5,1.0125
2017-06-07,0.0,11.829166666666666,6.791666666666665,18.625,8.766666666666664,0.0,82.50833333333334,11.375,1.6125
2017-06-08,0.0,2.8833333333333333,6.0,8.879166666666668,9.325,0.0,72.87083333333332,10.75,1.5708333333333335
2017-06-09,0.0,10.887500000000001,8.920833333333333,19.808333333333337,12.845833333333333,0.0,76.77083333333333,10.125,1.2166666666666666
2017-06-10,0.0,0.8416666666666667,2.1333333333333333,2.9791666666666665,11.916666666666666,0.0,75.4875,13.083333333333334,2.3624999999999994
2017-06-11,0.0,8.933333333333332,5.675000000000001,14.612499999999999,26.345833333333335,0.0,74.87916666666665,11.375,1.6624999999999999
2017-06-12,0.0,19.504166666666666,9.291666666666668,28.808333333333326,21.270833333333336,0.0,83.86666666666669,11.083333333333334,1.2083333333333333
2017-06-13,0.0,1.4416666666666667,4.366666666666668,5.804166666666667,10.525,0.0,82.77916666666668,13.25,3.2291666666666665
2017-06-14,0.0,0.6499999999999999,1.1,1.7624999999999995,24.766666666666662,0.0,61.762499999999996,13.958333333333334,4.187499999999999
2017-06-15,0.0,1.8083333333333336,5.416666666666667,7.220833333333334,20.554166666666667,0.0,64.02083333333333,12.458333333333334,1.870833333333333
2017-06-16,0.0,3.420833333333333,5.2250000000000005,8.649999999999999,15.024999999999999,0.0,74.59166666666667,13.375,1.6416666666666664
2017-06-17,0.0,16.133333333333333,10.020833333333334,26.137500000000003,20.125,0.0,87.07083333333333,10.291666666666666,1.008333333333333
2017-06-18,0.0,3.158333333333333,11.920833333333334,15.075000000000001,12.924999999999999,0.0,86.54583333333333,11.833333333333334,1.0875000000000001
2017-06-19,0.0,10.329166666666666,22.9375,33.262499999999996,11.712499999999999,0.0,82.82083333333335,12.875,1.1416666666666666
2017-06-20,0.0,2.2875,11.445833333333333,13.737499999999999,12.1,0.0,79.4125,13.083333333333334,1.5458333333333334
2017-06-21,0.0,1.029166666666667,7.929166666666666,8.9625,15.966666666666667,0.0,70.08333333333333,14.041666666666666,2.0708333333333333
2017-06-22,0.0,0.9208333333333333,9.079166666666667,9.991666666666665,8.487499999999999,0.0,87.16250000000001,15.166666666666666,2.4291666666666667
2017-06-23,0.0,6.5375000000000005,14.320833333333333,20.85833333333333,13.208333333333334,0.0,87.5,15.0,1.05
2017-06-24,0.0,0.6958333333333333,1.8625,2.541666666666667,7.675,0.0,81.69166666666668,13.125,2.7083333333333335
2017-06-25,0.0,2.120833333333333,4.991666666666667,7.1208333333333345,13.9125,0.0,80.40416666666665,11.875,1.6208333333333336
2017-06-26,0.0,6.104166666666667,8.908333333333333,15.012500000000001,19.316666666666666,0.0,75.77083333333333,10.291666666666666,1.4249999999999998
2017-06-27,0.0,22.454166666666666,10.083333333333334,32.545833333333334,22.55,0.0,81.37499999999999,8.125,1.1416666666666664
2017-06-28,0.0,9.779166666666667,16.529166666666665,26.287499999999998,16.804166666666667,0.0,78.54545454545455,9.75,1.0291666666666666
2017-06-29,0.0,20.424999999999997,11.649999999999999,32.05833333333333,19.650000000000002,0.0,79.83181818181819,10.166666666666666,1.0083333333333333
2017-06-30,0.0,23.329166666666666,12.5,35.824999999999996,14.637500000000001,0.0,81.48181818181818,10.125,1.4000000000000004
2017-07-01,0.0,0.19090909090909092,1.5545454545454547,0.0,10.945454545454545,0.0,84.48636363636363,14.272727272727273,3.663636363636364
2017-07-02,0.0,2.104545454545455,8.254545454545456,10.359090909090911,9.918181818181818,0.0,88.10454545454544,11.5,1.3227272727272725
2017-07-03,0.0,3.1545454545454543,12.313636363636363,15.468181818181817,9.654545454545454,0.0,88.96818181818183,11.136363636363637,1.1954545454545455
2017-07-04,0.0,8.372727272727273,9.14090909090909,17.513636363636365,17.127272727272725,0.0,78.48181818181818,11.409090909090908,1.3727272727272728
2017-07-05,0.0,13.913636363636362,12.327272727272726,26.25,13.990909090909092,0.0,86.94545454545454,10.954545454545455,0.9090909090909091
