Date,PM10,TEMP,Temp,WS
2019-06-01,22.7,14.0,,4.1
2019-06-02,25.8,14.0,,3.4
2019-06-03,45.2,14.0,,1.3
2019-06-04,34.0,16.0,,1.9
2019-06-05,53.3,,16.13,5.3
2019-06-06,19.7,,14.67,4.0
2019-06-07,22.5,,12.77,3.9
2019-06-08,44.3,,16.33,6.8
2019-06-09,44.2,,15.42,2.1
2019-06-10,32.5,,16.03,2.3
2019-06-11,34.9,,16.72,2.2
2019-06-12,24.7,,15.55,1.2
2019-06-13,42.4,,15.43,1.2
2019-06-14,37.9,,16.72,2.3
2019-06-15,15.9,,16.72,4.5
2019-06-16,23.6,,16.37,4.3
2019-06-17,20.4,,14.3,4.2
2019-06-18,53.9,,14.5,1.8
2019-06-19,39.4,,15.42,1.9
2019-06-20,21.7,,15.68,3.8
2019-06-21,31.5,,16.1,3.3
2019-06-22,48.0,,14.43,0.6
2019-06-23,36.2,,15.4,3.0
2019-06-24,29.6,,14.85,2.2
2019-06-25,24.7,,14.67,2.0
2019-06-26,38.5,,14.22,1.5
2019-06-27,35.1,,15.15,1.2
2019-06-28,49.7,,14.37,1.2
2019-06-29,36.0,,16.43,1.7
2019-06-30,36.7,10.0,15.0,1.8
2019-07-01,21.5,18.0,10.0,3.1
2019-07-02,21.2,17.0,,3.8
2019-07-03,27.4,18.0,,4.1
2019-07-04,26.3,17.0,,3.5
2019-07-05,13.4,12.0,,3.4
2019-07-06,57.5,14.0,,3.2
2019-07-07,52.2,13.0,,1.6
2019-07-08,30.2,14.0,,4.1
2019-07-09,39.7,14.0,,2.9
2019-07-10,30.9,16.0,,1.7
2019-07-11,43.5,17.0,,2.6
2019-07-12,22.3,15.0,,2.2
2019-07-13,34.0,18.0,,2.8
2019-07-14,19.2,17.0,,3.3
2019-07-15,27.3,16.0,,4.1
2019-07-16,38.1,15.0,,4.4
2019-07-17,40.5,15.0,,5.4
2019-07-18,38.2,15.0,,2.1
2019-07-19,61.7,15.0,,4.3
2019-07-20,17.3,15.0,,3.7
2019-07-21,50.4,15.0,,2.1
2019-07-22,55.2,16.0,,2.0
2019-07-23,28.3,15.0,,2.1
2019-07-24,35.5,15.0,,2.0
2019-07-25,46.7,15.0,,1.8
2019-07-26,13.2,17.0,,3.3
2019-07-27,28.2,17.0,,3.2
2019-07-28,57.4,16.0,,3.1
2019-07-29,57.2,18.0,,2.8
2019-07-30,17.1,16.0,,4.0
2019-07-31,20.6,13.0,,3.2
2019-08-01,41.0,12.0,,3.2
2019-08-02,28.9,15.0,,5.2
2019-08-03,37.5,14.0,,5.9
2019-08-04,25.6,14.0,,4.7
2019-08-05,31.1,12.0,,5.0
2019-08-06,28.1,14.0,,3.9
2019-08-07,31.7,15.0,,3.5
2019-08-08,29.2,16.0,,2.1
2019-08-09,17.5,15.0,,2.8
2019-08-10,39.6,18.0,,2.8
2019-08-11,40.1,19.0,,2.5
2019-08-12,37.8,16.0,,3.9
2019-08-13,27.8,15.0,,5.4
2019-08-14,30.6,15.0,,5.1
2019-08-15,21.2,14.0,,3.1
2019-08-16,23.5,14.0,,4.2
2019-08-17,31.8,16.0,,3.2
2019-08-18,13.4,11.0,,2.5
2019-08-19,35.5,14.0,,3.3
2019-08-20,30.1,14.0,,5.1
2019-08-21,32.2,15.0,,5.1
2019-08-22,26.0,14.0,,4.3
2019-08-23,15.8,13.0,,1.9
2019-08-24,28.5,15.0,,4.4
2019-08-25,32.9,16.0,,5.6
2019-08-26,38.6,16.0,,6.1
2019-08-27,39.0,15.0,,3.5
2019-08-28,28.9,15.0,,3.2
2019-08-29,30.7,15.0,,4.3
2019-08-30,40.8,15.0,,2.9
2019-08-31,20.9,14.0,,3.6
2019-09-01,36.0,16.0,,1.8
2019-09-02,30.6,16.0,,1.6
2019-09-03,24.2,17.0,,4.9
2019-09-04,23.5,19.0,,4.3
2019-09-05,38.8,17.0,,5.3
2019-09-06,25.0,14.0,,5.2
2019-09-07,36.0,16.0,,5.1
2019-09-08,41.1,17.0,,4.8
2019-09-09,31.5,17.0,,3.9
2019-09-10,14.0,15.0,,4.8
2019-09-11,27.0,14.0,,3.8
2019-09-12,39.5,15.0,,3.9
2019-09-13,23.0,16.0,,3.3
2019-09-14,24.1,17.0,,4.5
2019-09-15,24.5,16.0,,2.1
2019-09-16,21.5,16.0,,3.7
2019-09-17,21.4,18.0,,4.4
2019-09-18,27.6,16.0,,2.8
2019-09-19,30.5,15.0,,1.7
2019-09-20,52.2,16.0,,2.4
2019-09-21,29.7,17.0,,3.3
2019-09-22,31.6,15.0,,3.2
2019-09-23,19.7,17.0,,4.0
2019-09-24,28.9,16.0,,5.1
2019-09-25,28.4,15.0,,6.4
2019-09-26,37.2,14.0,,6.4
2019-09-27,32.1,16.0,,5.8
2019-09-28,26.3,16.0,,4.7
2019-09-29,31.8,18.0,,3.1
2019-09-30,25.6,18.0,,4.8
2019-10-01,24.5,15.0,,5.2
2019-10-02,40.3,14.0,,6.7
2019-10-03,45.9,14.0,,3.9
2019-10-04,28.8,15.0,,3.5
2019-10-05,24.1,16.0,,3.5
2019-10-06,27.1,16.0,,2.3
2019-10-07,20.3,17.0,,3.7
2019-10-08,16.5,18.0,,3.2
2019-10-09,20.2,20.0,,3.6
2019-10-10,38.1,19.0,,4.7
2019-10-11,18.2,17.0,,4.1
2019-10-12,18.9,18.0,,2.4
2019-10-13,24.8,18.0,,2.1
2019-10-14,22.1,15.0,,4.5
2019-10-15,13.7,18.0,,3.9
2019-10-16,29.2,16.0,,4.9
2019-10-17,25.0,16.0,,4.4
2019-10-18,18.6,20.0,,2.4
2019-10-19,28.6,18.0,,3.7
2019-10-20,25.3,18.0,,2.3
2019-10-21,47.1,18.0,,4.1
2019-10-22,25.6,17.0,,4.4
2019-10-23,36.5,15.0,,6.6
2019-10-24,35.9,16.0,,5.3
2019-10-25,40.7,15.0,,4.2
2019-10-26,38.1,17.0,,2.8
2019-10-27,36.2,20.0,,1.8
2019-10-28,37.0,21.0,,2.7
2019-10-29,15.7,17.0,,1.9
2019-10-30,35.1,17.0,,3.3
2019-10-31,36.0,18.0,,2.3
2019-11-01,42.0,16.0,,3.1
2019-11-02,26.9,17.0,,2.3
2019-11-03,21.5,20.0,,1.8
2019-11-04,24.2,22.0,,1.7
2019-11-05,170.0,25.0,,1.2
2019-11-06,35.2,25.0,,1.9
2019-11-07,18.7,24.0,,3.7
2019-11-08,26.3,22.0,,4.3
2019-11-09,25.2,21.0,,4.8
2019-11-10,25.3,21.0,,4.9
2019-11-11,21.7,17.0,,2.3
2019-11-12,22.0,16.0,,2.7
2019-11-13,31.5,19.0,,2.6
2019-11-14,24.9,20.0,,3.0
2019-11-15,32.9,18.0,,3.9
2019-11-16,38.0,21.0,,3.0
2019-11-17,25.0,22.0,,3.5
2019-11-18,27.1,20.0,,2.1
2019-11-19,23.7,17.0,,1.6
2019-11-20,30.0,20.0,,2.5
2019-11-21,24.7,18.0,,2.1
2019-11-22,25.0,18.0,,2.3
2019-11-23,27.2,20.0,,2.3
2019-11-24,32.2,19.0,,2.0
2019-11-25,29.3,20.0,,1.8
2019-11-26,33.6,23.0,,1.2
2019-11-27,37.2,23.0,,1.5
2019-11-28,36.0,23.0,,2.5
2019-11-29,25.7,24.0,,2.8
2019-11-30,25.0,24.0,,3.3
2019-12-01,30.2,22.0,,4.9
2019-12-02,18.6,23.0,,5.0
2019-12-03,32.2,22.0,,4.5
2019-12-04,42.8,25.0,,1.7
2019-12-05,58.2,25.0,,1.6
2019-12-06,75.4,24.0,,3.0
2019-12-07,79.0,26.0,,2.1
