Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-05-23,93,19.4,10.5,287.0,3.4,996.0,21.6,,,,,
2018-05-24,74,14.9,9.0,204.0,1.1,1008.1,9.8,,,,,
2018-05-25,84,17.2,12.3,280.0,3.2,1003.1,16.2,,,,,
2018-05-26,71,16.5,6.7,182.0,4.0,1009.1,10.6,,,,,
2018-05-27,84,15.8,11.3,252.0,5.0,1011.2,2.4,,,,,
2018-05-28,71,16.6,6.9,157.0,2.7,1013.8,4.4,,,,,
2018-05-29,79,12.6,1.4,138.0,2.6,1020.1,0.0,,,,,
2018-05-30,99,14.2,0.9,154.0,0.2,1021.0,0.0,,,,,
2018-05-31,99,13.9,1.3,172.0,0.1,1020.7,0.0,,,,,
2018-01-06,99,15.2,1.2,160.0,0.7,1022.1,0.0,,,,,
2018-02-06,70,17.0,6.2,68.0,5.7,1020.3,0.0,,,,,
2018-03-06,94,16.4,13.2,95.0,5.1,1010.6,10.8,,,,,
2018-04-06,91,17.0,12.3,90.0,5.2,998.6,30.2,,,,,
2018-05-06,86,16.9,13.8,211.0,4.6,997.2,27.4,,,,,
2018-06-06,84,17.0,10.2,271.0,1.2,1010.3,0.4,,,,,
2018-07-06,70,12.8,5.2,158.0,3.4,1014.4,8.2,,,,,
2018-08-06,75,13.2,7.2,166.0,2.7,1022.5,0.0,,,,,
2018-09-06,99,16.5,3.1,178.0,0.8,1027.7,0.0,,,,,
2018-10-06,99,17.1,5.6,159.0,1.2,1024.2,0.0,,,,,
2018-11-06,83,14.9,9.5,166.0,3.6,1015.5,0.0,,,,,
2018-12-06,92,12.9,10.3,220.0,4.9,1004.1,28.4,,,,,
2018-06-13,92,15.0,12.4,263.0,2.3,1009.7,3.6,,,,,
2018-06-14,99,17.1,7.4,138.0,0.2,1016.4,0.6,,,,,
2018-06-15,99,17.4,6.2,338.0,0.9,1019.1,0.0,,,,,
2018-06-16,99,18.1,11.4,312.0,0.3,1016.2,3.0,,,,,
2018-06-17,97,19.4,8.9,321.0,1.4,1013.8,2.6,,,,,
2018-06-18,96,17.8,8.8,8.0,1.6,1007.4,0.0,,,,,
2018-06-19,98,19.2,10.9,333.0,0.8,1009.6,4.0,,,,,
2018-06-20,86,18.6,11.1,147.0,1.9,1014.5,0.2,,,,,
2018-06-21,88,13.0,9.5,154.0,3.8,1012.3,13.2,,,,,
2018-06-22,97,12.6,3.0,150.0,1.7,1017.6,2.2,,,,,
2018-06-23,98,14.8,4.0,325.0,0.7,1019.6,0.2,,,,,
2018-06-24,98,15.9,7.9,346.0,1.4,1016.7,2.6,,,,,
2018-06-25,94,16.9,10.7,342.0,2.0,1009.0,25.6,,,,,
2018-06-26,87,13.2,7.0,276.0,2.5,1011.4,6.2,,,,,
2018-06-27,99,12.5,0.7,152.0,0.3,1021.1,13.0,,,,,
2018-06-28,99,14.3,3.0,149.0,0.5,1023.2,0.2,,,,,
2018-06-29,99,14.7,6.0,168.0,2.5,1025.4,2.2,,,,,
2018-06-30,99,12.6,0.5,229.0,0.4,1031.5,0.0,,,,,
2018-01-07,98,15.2,4.4,169.0,0.2,1027.8,0.0,,,,,
2018-02-07,77,14.3,7.9,247.0,2.4,1020.2,6.2,,,,,
2018-03-07,96,16.5,4.9,154.0,3.1,1024.4,1.4,,,,,
2018-04-07,99,14.1,-0.2,190.0,0.7,1027.7,0.0,,,,,
2018-05-07,91,14.3,4.2,53.0,0.2,1025.6,0.0,,,,,
2018-06-07,97,14.2,4.9,148.0,1.1,1024.1,0.0,,,,,
2018-07-07,99,15.8,4.2,164.0,0.3,1019.8,0.0,,,,,
2018-08-07,78,15.7,6.4,15.0,2.9,1012.9,0.0,,,,,
2018-09-07,84,17.1,11.9,342.0,5.7,1001.5,5.0,,,,,
2018-10-07,86,16.3,7.8,281.0,2.0,1006.6,6.8,,,,,
2018-11-07,99,15.2,3.8,136.0,0.6,1021.0,3.4,,,,,
2018-12-07,99,15.7,5.0,136.0,0.5,1026.2,0.2,,,,,
2018-07-13,99,16.4,2.2,174.0,0.6,1028.9,0.0,,,,,
2018-07-14,89,15.4,5.8,70.0,4.5,1020.5,0.0,,,,,
2018-07-15,97,16.1,12.6,42.0,4.1,1012.7,40.6,,,,,
2018-07-16,98,14.0,8.1,329.0,0.9,1013.0,21.0,,,,,
2018-07-17,99,17.1,5.8,112.0,0.4,1013.6,0.2,,,,,
2018-07-18,99,17.3,5.7,337.0,0.1,1014.8,0.4,,,,,
2018-07-19,98,16.2,7.7,332.0,0.6,1016.0,0.2,,,,,
2018-07-20,99,16.9,5.0,173.0,0.3,1020.8,2.0,,,,,
