Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2019-01-11,57,18.9,11.8,227.0,5.3,1015.6,0.0,,,,,
2019-02-11,63,17.3,10.9,213.0,4.8,1020.5,0.0,,,,,
2019-03-11,78,18.4,9.9,212.0,3.2,1025.1,0.0,,,,,
2019-04-11,81,21.9,10.4,183.0,3.5,1022.3,0.0,,,,,
2019-05-11,78,23.6,12.4,198.0,1.2,1015.7,0.0,,,,,
2019-06-11,80,26.8,10.6,325.0,0.7,1014.1,0.0,,,,,
2019-07-11,83,24.8,15.6,46.0,2.3,1015.3,0.0,,,,,
2019-08-11,82,23.4,14.1,38.0,2.6,1016.8,0.0,,,,,
2019-09-11,88,23.5,17.7,43.0,4.2,1015.1,0.0,87.0,11.1,8.5,217.0,6.6
2019-10-11,92,22.0,17.6,28.0,5.2,1000.3,3.6,98.0,15.5,13.4,334.0,5.7
2019-11-11,68,22.0,13.8,281.0,3.5,998.2,12.6,77.0,17.0,12.4,263.0,6.7
2019-12-11,94,18.3,10.2,359.0,1.0,1007.7,2.8,28.0,18.5,13.8,163.0,5.9
2019-11-13,62,17.3,7.9,302.0,1.5,1013.2,6.2,67.0,13.2,8.2,249.0,3.8
2019-11-14,96,19.8,13.5,313.0,4.0,1005.5,5.2,100.0,15.0,12.0,303.0,10.5
2019-11-15,58,20.6,13.1,252.0,5.1,1011.3,0.4,66.0,16.0,11.7,244.0,11.8
2019-11-16,88,19.5,12.2,340.0,2.6,1018.5,0.0,98.0,14.8,12.7,286.0,5.4
2019-11-17,78,22.0,13.2,344.0,3.1,1018.7,0.0,88.0,17.0,13.7,322.0,4.6
2019-11-18,89,22.3,17.2,336.0,5.3,1010.5,10.8,96.0,18.4,14.7,312.0,10.6
2019-11-19,67,21.7,8.3,234.0,1.4,1013.2,3.6,71.0,18.9,11.0,194.0,3.9
2019-11-20,81,18.5,7.8,323.0,1.8,1011.1,0.0,88.0,14.5,11.5,276.0,9.0
2019-11-21,52,20.5,12.9,200.0,5.1,1017.0,0.0,60.0,16.1,11.1,196.0,11.8
2019-11-22,69,18.5,9.2,202.0,4.1,1022.1,0.0,78.0,13.8,11.4,197.0,7.6
2019-11-23,73,19.4,14.3,201.0,5.0,1017.6,0.0,87.0,14.5,12.1,196.0,11.1
2019-11-24,77,20.9,14.8,205.0,2.1,1015.6,0.0,94.0,16.5,12.2,206.0,5.4
2019-11-25,78,20.0,15.1,202.0,4.7,1014.6,0.0,93.0,15.5,12.7,201.0,11.1
2019-11-26,82,21.5,12.3,327.0,1.6,1018.0,0.0,93.0,19.5,12.6,336.0,4.1
2019-11-27,81,24.4,11.8,344.0,1.7,1017.9,0.0,80.0,20.0,15.2,278.0,5.3
2019-11-28,76,24.4,14.8,333.0,1.1,1017.2,0.0,80.0,21.1,16.0,282.0,0.9
2019-11-29,72,23.7,16.1,30.0,1.9,1016.2,0.0,87.0,18.5,16.2,67.0,3.1
2019-11-30,73,24.4,14.7,64.0,2.7,1017.4,0.0,88.0,18.7,15.6,74.0,4.8
2019-01-12,76,24.2,17.6,33.0,3.5,1014.6,0.0,,,,,
2019-02-12,74,24.0,16.6,14.0,3.0,1013.2,2.4,,,,,
2019-03-12,72,23.9,19.1,9.0,4.6,1007.4,0.0,,,,,
2019-04-12,75,24.7,16.1,321.0,2.9,1011.8,3.4,,,,,
2019-05-12,83,25.6,12.1,344.0,2.0,1010.8,0.0,,,,,
2019-06-12,83,26.4,14.8,333.0,2.0,1014.7,0.0,,,,,
2019-07-12,82,24.3,17.6,350.0,2.5,1017.4,0.0,,,,,
2019-08-12,77,26.1,18.4,2.0,4.0,1016.2,0.4,,,,,
2019-09-12,65,25.3,15.2,223.0,3.7,1014.2,1.4,76.0,11.4,8.2,221.0,9.1
2019-10-12,59,20.9,14.0,163.0,3.9,1014.2,0.0,88.0,15.3,12.0,176.0,5.9
2019-11-12,54,23.1,10.5,188.0,3.1,1012.1,0.0,92.0,15.1,8.6,244.0,4.5
2019-12-12,75,23.7,13.1,187.0,2.3,1009.7,0.0,85.0,18.5,14.2,188.0,3.8
2019-12-13,69,26.0,13.9,281.0,3.3,1009.1,0.0,80.0,22.6,14.9,259.0,6.3
2019-12-14,87,23.4,17.9,233.0,1.9,1010.1,2.0,96.0,18.4,15.4,226.0,4.1
2019-12-15,74,23.0,11.9,337.0,2.2,1013.3,0.0,83.0,18.5,14.9,289.0,3.7
2019-12-16,80,23.8,17.6,28.0,1.8,1012.5,0.0,96.0,18.8,16.2,11.0,4.3
2019-12-17,96,24.5,19.1,31.0,5.1,1002.7,1.6,100.0,19.1,16.9,27.0,16.3
2019-12-18,86,21.4,14.4,269.0,4.5,1001.9,27.4,92.0,18.7,12.7,252.0,15.6
2019-12-19,58,20.4,12.9,228.0,3.1,1017.4,0.2,64.0,15.9,12.9,224.0,6.8
2019-12-20,86,21.3,15.1,343.0,3.7,1011.6,0.0,91.0,16.9,13.6,299.0,8.2
2019-12-21,62,22.0,10.1,178.0,2.2,1009.9,3.8,66.0,17.6,11.4,181.0,6.8
2019-12-22,55,20.8,10.5,182.0,4.8,1011.7,0.0,67.0,16.3,10.6,179.0,9.8
2019-12-23,74,21.2,15.4,211.0,4.5,1007.8,0.0,87.0,16.4,11.9,199.0,12.3
2019-12-24,91,21.0,15.7,208.0,1.5,1007.4,0.0,100.0,16.6,14.2,195.0,5.1
2019-12-25,76,23.4,14.6,288.0,1.3,1012.4,0.0,88.0,19.2,13.9,233.0,2.7
2019-12-26,77,22.6,11.3,297.0,1.8,1017.3,0.0,88.0,18.8,13.8,252.0,3.0
2019-12-27,75,22.8,12.3,227.0,2.7,1019.4,0.0,81.0,19.4,14.2,210.0,6.5
2019-12-28,77,21.7,12.0,216.0,4.7,1016.4,0.4,83.0,16.9,13.8,204.0,11.6
2019-12-29,58,20.9,11.9,254.0,3.0,1019.4,0.0,68.0,15.7,12.4,218.0,6.2
2019-12-30,80,21.0,11.8,270.0,3.2,1015.9,0.0,93.0,15.8,13.5,250.0,7.8
2019-12-31,71,21.3,16.7,226.0,2.5,1015.4,0.0,81.0,18.1,14.3,201.0,5.0
2020-01-01,79,25.3,13.2,317.0,1.8,1018.6,0.0,91.0,21.2,14.8,296.0,1.7
