Date,lungs_unscaled,lungs_monthly,isPartial,scale,lungs
2019-02-19,87,12.0,,0.12,10.44
2019-02-20,0,12.0,,0.12,0.0
2019-02-21,0,12.0,,0.12,0.0
2019-02-22,0,12.0,,0.12,0.0
2019-02-23,0,12.0,,0.12,0.0
2019-02-24,0,37.0,False,0.37,0.0
2019-02-25,0,37.0,,0.37,0.0
2019-02-26,0,37.0,,0.37,0.0
2019-02-27,0,37.0,,0.37,0.0
2019-02-28,0,37.0,,0.37,0.0
2019-03-01,60,37.0,,0.37,22.2
2019-03-02,0,37.0,,0.37,0.0
2019-03-03,54,25.0,False,0.25,13.5
2019-03-04,47,25.0,,0.25,11.75
2019-03-05,49,25.0,,0.25,12.25
2019-03-06,47,25.0,,0.25,11.75
2019-03-07,48,25.0,,0.25,12.0
2019-03-08,0,25.0,,0.25,0.0
2019-03-09,0,25.0,,0.25,0.0
2019-03-10,53,24.0,False,0.24,12.719999999999999
2019-03-11,0,24.0,,0.24,0.0
2019-03-12,0,24.0,,0.24,0.0
2019-03-13,0,24.0,,0.24,0.0
2019-03-14,100,24.0,,0.24,24.0
2019-03-15,0,24.0,,0.24,0.0
2019-03-16,0,24.0,,0.24,0.0
2019-03-17,0,50.0,False,0.5,0.0
2019-03-18,0,50.0,,0.5,0.0
2019-03-19,0,50.0,,0.5,0.0
2019-03-20,97,50.0,,0.5,48.5
2019-03-21,0,50.0,,0.5,0.0
2019-03-22,0,50.0,,0.5,0.0
2019-03-23,0,50.0,,0.5,0.0
2019-03-24,0,0.0,False,0.0,0.0
2019-03-25,0,0.0,,0.0,0.0
2019-03-26,0,0.0,,0.0,0.0
2019-03-27,47,0.0,,0.0,0.0
2019-03-28,0,0.0,,0.0,0.0
2019-03-29,0,0.0,,0.0,0.0
2019-03-30,0,0.0,,0.0,0.0
2019-03-31,0,12.0,False,0.12,0.0
2019-04-01,0,12.0,,0.12,0.0
2019-04-02,46,12.0,,0.12,5.52
2019-04-03,0,12.0,,0.12,0.0
2019-04-04,45,12.0,,0.12,5.3999999999999995
2019-04-05,0,12.0,,0.12,0.0
2019-04-06,0,12.0,,0.12,0.0
2019-04-07,0,49.0,False,0.49,0.0
2019-04-08,0,49.0,,0.49,0.0
2019-04-09,91,49.0,,0.49,44.589999999999996
2019-04-10,0,49.0,,0.49,0.0
2019-04-11,0,49.0,,0.49,0.0
2019-04-12,0,49.0,,0.49,0.0
2019-04-13,0,49.0,,0.49,0.0
2019-04-14,0,0.0,False,0.0,0.0
2019-04-15,0,0.0,,0.0,0.0
2019-04-16,0,0.0,,0.0,0.0
2019-04-17,0,0.0,,0.0,0.0
2019-04-18,0,0.0,,0.0,0.0
2019-04-19,0,0.0,,0.0,0.0
2019-04-20,0,0.0,,0.0,0.0
2019-04-21,61,54.0,False,0.54,32.940000000000005
2019-04-22,54,54.0,,0.54,29.160000000000004
2019-04-23,100,54.0,,0.54,54.0
2019-04-24,0,54.0,,0.54,0.0
2019-04-25,0,54.0,,0.54,0.0
2019-04-26,0,54.0,,0.54,0.0
2019-04-27,0,54.0,,0.54,0.0
2019-04-28,46,47.0,False,0.47,21.619999999999997
2019-04-29,83,47.0,,0.47,39.01
2019-04-30,44,47.0,,0.47,20.68
2019-05-01,76,47.0,,0.47,35.72
2019-05-02,74,47.0,,0.47,34.78
2019-05-03,87,47.0,,0.47,40.89
2019-05-04,0,47.0,,0.47,0.0
2019-05-05,0,24.0,False,0.24,0.0
2019-05-06,0,24.0,,0.24,0.0
2019-05-07,0,24.0,,0.24,0.0
2019-05-08,0,24.0,,0.24,0.0
2019-05-09,0,24.0,,0.24,0.0
2019-05-10,87,24.0,,0.24,20.88
2019-05-11,0,24.0,,0.24,0.0
2019-05-12,0,24.0,False,0.24,0.0
2019-05-13,73,24.0,,0.24,17.52
2019-05-14,0,24.0,,0.24,0.0
2019-05-15,74,24.0,,0.24,17.759999999999998
2019-05-16,0,24.0,,0.24,0.0
2019-05-17,88,24.0,,0.24,21.119999999999997
2019-05-18,100,24.0,,0.24,24.0
2019-05-19,81,60.0,False,0.6,48.6
2019-05-20,73,60.0,,0.6,43.8
2019-05-21,0,60.0,,0.6,0.0
2019-05-22,71,60.0,,0.6,42.6
2019-05-23,0,60.0,,0.6,0.0
2019-05-24,88,60.0,,0.6,52.8
2019-05-25,0,60.0,,0.6,0.0
2019-05-26,0,34.0,False,0.34,0.0
2019-05-27,0,34.0,,0.34,0.0
2019-05-28,0,34.0,,0.34,0.0
2019-05-29,70,34.0,,0.34,23.8
2019-05-30,67,34.0,,0.34,22.78
2019-05-31,0,34.0,,0.34,0.0
2019-06-01,0,34.0,,0.34,0.0
2019-06-02,0,45.0,False,0.45,0.0
2019-06-03,37,45.0,,0.45,16.650000000000002
2019-06-04,0,45.0,,0.45,0.0
2019-06-05,32,45.0,,0.45,14.4
2019-06-06,100,45.0,,0.45,45.0
2019-06-07,0,45.0,,0.45,0.0
2019-06-08,42,45.0,,0.45,18.900000000000002
2019-06-09,0,56.0,False,0.56,0.0
2019-06-10,0,56.0,,0.56,0.0
2019-06-11,34,56.0,,0.56,19.040000000000003
2019-06-12,33,56.0,,0.56,18.48
2019-06-13,0,56.0,,0.56,0.0
2019-06-14,0,56.0,,0.56,0.0
2019-06-15,0,56.0,,0.56,0.0
2019-06-16,37,11.0,False,0.11,4.07
2019-06-17,0,11.0,,0.11,0.0
2019-06-18,0,11.0,,0.11,0.0
2019-06-19,0,11.0,,0.11,0.0
2019-06-20,0,11.0,,0.11,0.0
2019-06-21,39,11.0,,0.11,4.29
2019-06-22,0,11.0,,0.11,0.0
2019-06-23,0,46.0,False,0.46,0.0
2019-06-24,34,46.0,,0.46,15.64
2019-06-25,35,46.0,,0.46,16.1
2019-06-26,0,46.0,,0.46,0.0
2019-06-27,70,46.0,,0.46,32.2
2019-06-28,0,46.0,,0.46,0.0
2019-06-29,0,46.0,,0.46,0.0
2019-06-30,0,35.0,False,0.35,0.0
2019-07-01,0,35.0,,0.35,0.0
2019-07-02,89,35.0,,0.35,31.15
2019-07-03,0,35.0,,0.35,0.0
2019-07-04,46,35.0,,0.35,16.099999999999998
2019-07-05,0,35.0,,0.35,0.0
2019-07-06,0,35.0,,0.35,0.0
2019-07-07,0,24.0,False,0.24,0.0
2019-07-08,0,24.0,,0.24,0.0
2019-07-09,48,24.0,,0.24,11.52
2019-07-10,0,24.0,,0.24,0.0
