Date,MaxTemp,MinTemp,RelHum,WindSpeed,Pressure
2018-06-10,15.4,12.0,,0.36041666666666644,1018.0
2018-06-11,13.4,11.1,,0.9237762237762237,
2018-06-12,15.7,12.5,,0.5377622377622382,998.0
2018-06-13,18.2,13.0,,0.17692307692307704,1010.0
2018-06-14,17.8,12.6,,0.27847222222222245,
2018-06-15,18.0,11.3,,0.3173611111111112,1020.0
2018-06-16,18.6,14.5,,0.22361111111111112,1018.0
2018-06-17,19.3,13.8,,0.25555555555555565,1015.0
2018-06-18,18.4,13.8,,0.4279720279720279,1011.0
2018-06-19,17.1,13.4,,0.3840277777777778,1013.0
2018-06-20,13.8,11.6,,0.2,1013.0
2018-06-21,13.2,10.1,,0.7308823529411764,1015.0
2018-06-22,14.5,9.0,,0.48055555555555546,1018.0
2018-06-23,15.3,9.7,,0.23472222222222244,1019.0
2018-06-24,16.0,11.3,,0.3041666666666667,1017.0
2018-06-25,14.0,9.6,,0.5319444444444446,1011.0
2018-06-26,12.9,8.3,,0.5312499999999997,1015.0
2018-06-27,13.7,6.8,,0.4694444444444444,1021.0
2018-06-28,14.1,8.7,,0.3458333333333337,1022.0
2018-06-29,12.4,8.8,,0.4152777777777779,1029.0
2018-06-30,15.0,5.0,,0.37013888888888924,1031.0
2018-07-01,14.4,10.7,,0.26293706293706304,1030.0
2018-07-02,17.6,11.5,,0.21736111111111125,1019.0
2018-07-03,13.6,9.9,,0.5583333333333333,1026.0
2018-07-04,13.7,7.4,,0.38333333333333325,1027.0
2018-07-05,13.7,11.8,,0.4097222222222221,1025.0
2018-07-06,14.4,10.3,,0.38819444444444484,1023.0
2018-07-07,15.8,10.4,,0.2645833333333334,1021.0
2018-07-08,16.3,12.2,,0.5666666666666665,1016.0
2018-07-09,16.3,12.6,,0.5878787878787877,1002.0
2018-07-10,15.3,10.2,,0.36993006993006994,1015.5
2018-07-11,16.1,10.5,,0.27361111111111125,1022.0
2018-07-12,17.1,10.8,,0.3527777777777779,1028.0
2018-07-13,13.7,9.8,,0.44999999999999996,1028.0
2018-07-14,15.9,11.9,,0.47872340425531934,1022.0
2018-07-15,15.2,12.2,,0.6381944444444437,1014.0
2018-07-16,17.5,11.9,,0.25000000000000017,1012.0
2018-07-17,17.0,11.6,,0.28260869565217417,1013.0
2018-07-18,16.5,10.6,,0.5014285714285718,1015.0
2018-07-19,16.5,12.3,,0.2791666666666668,1017.0
2018-07-20,16.5,11.0,,0.4500000000000002,1021.0
2018-07-21,16.1,11.1,,0.40138888888888896,1020.0
2018-07-22,15.8,12.0,,0.3169014084507046,1013.0
2018-07-23,15.7,10.5,,0.37013888888888896,1015.0
2018-07-24,14.0,9.1,,0.5562499999999998,1015.0
2018-07-25,16.0,8.4,,0.4635714285714287,1013.0
2018-07-26,18.4,12.2,,0.3305555555555555,1011.0
2018-07-27,15.3,10.5,,0.2671328671328673,1011.0
2018-07-28,17.9,12.7,,0.2174825174825176,1012.0
2018-07-29,18.5,12.0,,0.27647058823529413,1010.0
2018-07-30,16.1,10.8,,0.39999999999999997,1017.0
2018-07-31,15.5,10.8,,0.4374999999999999,1017.0
2018-08-01,17.6,12.2,,0.3319444444444448,1018.0
2018-08-02,15.5,8.6,,0.48741258741258725,1019.0
2018-08-03,15.4,11.4,,0.37253521126760575,1015.0
2018-08-04,16.5,8.2,,0.5583333333333338,1015.0
