Date,AQI,WS
2018-02-05,23.0,
2018-02-06,21.0,
2018-02-07,39.0,
2018-02-08,40.0,
2018-02-09,23.0,
2018-02-10,25.0,
2018-02-11,25.0,
2018-02-12,18.0,
2018-02-13,24.0,
2018-02-14,32.0,
2018-02-15,27.0,
2018-02-16,27.0,
2018-02-17,34.0,
2018-02-18,37.0,
2018-02-19,37.0,
2018-02-20,48.0,
2018-02-21,56.0,
2018-02-22,36.0,
2018-02-23,30.0,
2018-02-24,27.0,
2018-02-25,26.0,
2018-02-26,21.0,
2018-02-27,26.0,
2018-02-28,35.0,
2018-03-01,35.0,
2018-03-02,43.0,
2018-03-03,55.0,
2018-03-04,55.0,
2018-03-05,38.0,
2018-03-06,30.0,
2018-03-07,26.0,
2018-03-08,20.0,
2018-03-09,27.0,
2018-03-10,23.0,
2018-03-11,18.0,
2018-03-12,32.0,
2018-03-13,32.0,
2018-03-14,36.0,
2018-03-15,41.0,
2018-03-16,42.0,
2018-03-17,31.0,
2018-03-18,30.0,5.5
2018-03-19,28.0,4.8
2018-03-20,27.0,4.8
2018-03-21,29.0,3.5
2018-03-22,33.0,3.3
2018-03-23,30.0,5.5
2018-03-24,26.0,5.1
2018-03-25,20.0,1.9
2018-03-26,31.0,4.4
2018-03-27,28.0,4.4
2018-03-28,26.0,3.5
2018-03-29,25.0,3.7
2018-03-30,27.0,4.0
2018-03-31,21.0,4.8
2018-04-01,30.0,3.6
2018-04-02,31.0,2.6
2018-04-03,35.0,2.7
2018-04-04,33.0,4.5
2018-04-05,33.0,4.0
2018-04-06,37.0,2.4
2018-04-07,32.0,4.6
2018-04-08,32.0,4.3
2018-04-09,31.0,3.9
2018-04-10,43.0,11.7
2018-04-11,47.0,
2018-04-12,33.0,
2018-04-13,56.0,
2018-04-14,55.0,
2018-04-15,56.0,
2018-04-16,43.0,
2018-04-17,61.0,4.9
2018-04-18,54.0,6.4
2018-04-19,37.0,3.6
2018-04-20,32.0,5.0
2018-04-21,27.0,5.5
2018-04-22,27.0,3.8
2018-04-23,33.0,2.2
2018-04-24,29.0,3.1
2018-04-25,19.0,3.6
2018-04-26,32.0,1.8
2018-04-27,42.0,5.5
2018-04-28,48.0,8.0
2018-04-29,49.0,5.3
2018-04-30,35.0,4.2
2018-05-01,24.0,3.7
2018-05-02,26.0,3.3
2018-05-03,30.0,2.3
2018-05-04,54.0,2.6
2018-05-05,62.0,2.7
2018-05-06,46.0,4.5
2018-05-07,44.0,3.7
2018-05-08,49.0,3.3
2018-05-09,43.0,3.5
2018-05-10,36.0,3.2
2018-05-11,29.0,2.6
2018-05-12,31.0,2.5
2018-05-13,15.0,4.1
2018-05-14,21.0,2.8
2018-05-15,28.0,4.2
2018-05-16,29.0,4.8
2018-05-17,29.0,4.3
2018-05-18,35.0,4.0
2018-05-19,35.0,4.8
2018-05-20,24.0,4.2
2018-05-21,30.0,6.0
2018-05-22,31.0,3.0
2018-05-23,28.0,4.7
2018-05-24,32.0,6.1
2018-05-25,43.0,6.3
2018-05-26,44.0,5.3
2018-05-27,26.0,4.8
2018-05-28,34.0,4.4
2018-05-29,43.0,2.8
2018-05-30,77.0,2.9
2018-05-31,80.0,3.5
2018-06-01,94.0,3.3
2018-06-02,57.0,7.3
2018-06-03,33.0,5.7
2018-06-04,27.0,5.1
2018-06-05,10.0,4.4
2018-06-06,41.0,3.9
2018-06-07,39.0,5.5
2018-06-08,37.0,2.6
2018-06-09,83.0,2.2
2018-06-10,72.0,2.9
2018-06-11,44.0,4.1
2018-06-12,33.0,5.1
2018-06-13,26.0,4.0
2018-06-14,39.0,3.5
2018-06-15,52.0,3.3
2018-06-16,27.0,3.7
