Date,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2017-05-22,388.3,82.1,459.2,57.8,49.3,84.1,20.1
2017-05-23,180.3,51.9,219.5,48.5,36.2,87.0,26.6
2017-05-24,87.4,47.1,127.3,18.9,22.0,92.2,4.1
2017-05-25,297.2,59.4,356.6,40.6,32.8,93.3,14.0
2017-05-26,100.6,35.5,135.3,28.6,14.1,91.4,4.5
2017-05-27,33.6,45.8,72.3,19.5,12.6,93.7,2.0
2017-05-28,23.9,37.8,61.7,14.4,8.5,90.9,1.3
2017-05-29,118.3,47.4,152.5,25.4,13.1,90.8,7.0
2017-05-30,106.3,63.3,166.1,17.3,12.7,84.3,5.1
2017-05-31,66.9,50.4,112.3,26.4,13.3,91.6,3.9
2017-06-01,241.2,64.5,297.8,49.0,19.8,92.6,10.6
2017-06-02,22.7,37.9,60.6,18.0,12.5,90.9,1.8
2017-06-03,42.9,44.3,87.2,18.1,23.6,88.9,20.9
2017-06-04,62.6,45.7,101.8,32.2,29.0,86.4,7.4
2017-06-05,58.8,45.8,92.4,31.9,21.8,90.9,5.7
2017-06-06,128.5,39.9,158.6,24.1,23.1,93.3,8.1
2017-06-07,315.1,88.9,403.9,34.3,30.2,91.1,15.1
2017-06-08,123.3,59.9,179.0,30.6,18.2,87.9,15.8
2017-06-09,255.6,69.6,325.1,36.8,23.7,87.7,19.4
2017-06-10,27.1,37.1,64.1,31.0,11.2,86.1,1.3
2017-06-11,70.9,47.6,112.8,58.4,50.6,86.1,5.4
2017-06-12,99.3,54.0,153.3,31.1,13.1,91.6,4.4
2017-06-13,42.6,56.8,94.9,21.3,18.6,90.3,4.3
2017-06-14,21.8,32.0,49.4,37.2,21.3,75.7,1.4
2017-06-15,87.1,59.7,145.7,37.6,14.3,75.0,16.2
2017-06-16,41.3,57.1,92.0,26.4,19.7,87.9,1.9
2017-06-17,207.2,35.9,239.7,43.0,27.7,92.4,8.9
2017-06-18,43.3,29.3,69.5,20.5,19.2,93.3,4.6
2017-06-19,126.9,57.6,184.6,29.9,15.7,91.4,5.7
2017-06-20,196.4,50.5,243.9,40.3,24.6,89.6,9.3
2017-06-21,5.1,17.2,20.7,42.7,13.1,74.1,1.4
2017-06-22,29.4,43.6,73.0,21.7,15.3,91.2,1.8
2017-06-23,127.7,51.9,165.5,27.0,20.8,91.9,6.6
2017-06-24,19.5,32.1,49.5,18.7,12.6,92.4,1.7
2017-06-25,18.4,41.9,60.3,26.5,12.6,87.2,4.2
2017-06-26,61.3,65.0,118.7,33.5,23.4,83.5,3.9
2017-06-27,276.4,62.4,338.7,42.4,30.6,87.1,13.0
2017-06-28,234.8,59.1,281.9,35.8,24.2,86.8,11.5
2017-06-29,233.0,53.1,284.6,55.0,53.2,88.8,25.6
2017-06-30,125.0,32.1,155.0,36.2,31.8,93.6,6.9
2017-07-01,0.0,0.0,0.0,24.1,19.0,0.0,0.4
2017-07-02,0.4,0.0,0.4,16.7,10.7,0.0,0.8
2017-07-03,0.0,0.0,0.0,21.7,16.5,0.0,6.8
2017-07-04,0.0,0.0,0.0,28.3,17.6,0.0,4.8
2017-07-05,0.0,0.0,0.0,38.2,21.8,0.0,6.0
2017-07-06,16.5,69.4,83.5,21.6,14.0,0.0,1.9
2017-07-07,81.6,68.3,149.9,16.6,16.1,0.0,6.6
2017-07-08,48.3,49.3,73.8,19.7,17.3,0.0,2.9
2017-07-09,15.8,44.1,59.9,21.8,14.3,0.0,5.2
2017-07-10,64.7,71.1,135.8,24.7,17.0,0.0,2.3
2017-07-11,217.7,87.5,305.1,20.5,23.1,0.0,9.1
2017-07-12,50.5,69.6,115.8,21.3,16.2,0.0,3.3
