Date,AQI,PM10,PM2.5,RH,TEMP,WS
2017-07-10,28,21.7,0.0,89.55,15,3.5
2017-07-11,28,17.5,0.0,92.38,15,2.9
2017-07-12,30,41.2,0.0,91.6,12,2.9
2017-07-13,29,21.2,0.0,83.55,11,5.9
2017-07-14,21,19.0,0.0,83.88,11,5.6
2017-07-15,42,66.7,0.0,91.42,14,3.1
2017-07-16,73,69.6,0.0,91.7,15,1.8
2017-07-17,55,26.6,0.0,91.88,15,1.7
2017-07-18,24,25.9,0.0,89.98,17,1.0
2017-07-19,37,60.1,0.0,91.87,16,1.0
2017-07-20,40,32.6,0.0,91.24,17,2.6
2017-07-21,24,23.5,0.0,88.32,14,3.0
2017-07-22,32,21.9,0.0,88.73,14,2.7
2017-07-23,32,21.6,0.0,90.96,15,2.1
2017-07-24,24,27.1,0.0,90.08,15,2.8
2017-07-25,25,22.4,0.0,90.69,16,3.7
2017-07-26,32,26.0,0.0,88.8,15,3.4
2017-07-27,33,19.8,0.0,92.02,15,2.0
2017-07-28,22,18.4,0.0,88.29,15,3.0
2017-07-29,31,60.4,0.0,89.01,11,4.6
2017-07-30,62,68.8,0.0,92.0,13,1.6
2017-07-31,60,49.0,0.0,91.79,13,1.9
2017-08-01,50,31.9,0.0,84.93,16,2.1
2017-08-02,27,17.4,0.0,91.02,15,1.6
2017-08-03,28,64.4,0.0,86.08,14,2.8
2017-08-04,33,35.1,0.0,89.88,14,1.2
2017-08-05,39,37.5,0.0,90.76,14,1.3
2017-08-06,30,16.5,0.0,86.84,16,1.5
2017-08-07,27,11.6,0.0,91.47,16,28.2
2017-08-08,62,15.6,0.0,0.0,0,14.7
2017-08-09,30,26.1,0.0,0.0,15,1.0
2017-08-10,25,17.4,0.0,91.25,16,2.3
2017-08-11,25,27.8,0.0,91.26,16,4.2
2017-08-12,43,37.1,0.0,87.94,18,3.4
2017-08-13,47,28.7,0.0,92.49,17,1.5
2017-08-14,33,18.8,0.0,91.69,15,2.7
2017-08-15,22,20.1,0.0,89.93,15,3.0
2017-08-16,24,20.9,0.0,89.3,16,3.2
2017-08-17,23,17.8,0.0,90.16,16,1.5
2017-08-18,24,21.2,0.0,92.14,16,0.9
2017-08-19,26,16.5,0.0,90.52,16,2.2
2017-08-20,19,17.6,0.0,88.31,16,3.0
2017-08-21,26,28.8,0.0,89.21,16,2.9
2017-08-22,38,33.0,0.0,91.08,15,2.1
2017-08-23,40,39.3,0.0,91.65,15,0.9
2017-08-24,32,27.4,0.0,91.97,16,1.1
2017-08-25,19,25.4,0.0,91.56,16,1.2
2017-08-26,21,28.0,0.0,91.17,16,1.1
2017-08-27,28,22.6,0.0,85.03,16,2.9
2017-08-28,40,31.1,0.0,90.81,17,2.0
2017-08-29,31,22.3,0.0,92.33,18,1.6
2017-08-30,27,28.1,0.0,91.83,16,1.4
2017-08-31,20,25.5,0.0,90.54,17,1.7
2017-09-01,28,23.6,0.0,91.83,17,1.3
2017-09-02,20,10.2,0.0,88.46,16,2.1
2017-09-03,12,16.0,0.0,84.66,16,3.2
2017-09-04,21,20.3,0.0,90.91,16,3.1
2017-09-05,19,20.9,0.0,88.3,17,2.1
2017-09-06,18,14.1,0.0,89.6,16,1.9
2017-09-07,33,27.6,0.0,84.03,16,3.9
2017-09-08,35,21.4,0.0,81.05,17,3.1
2017-09-09,34,26.1,0.0,84.45,14,4.0
2017-09-10,21,18.4,0.0,84.83,13,4.1
2017-09-11,28,21.5,0.0,88.43,12,3.9
2017-09-12,36,30.5,0.0,86.75,15,4.3
2017-09-13,33,19.5,0.0,84.03,16,3.0
2017-09-14,45,26.6,0.0,86.28,19,3.0
2017-09-15,45,23.5,0.0,91.93,19,2.4
2017-09-16,33,28.4,0.0,87.47,16,3.1
