Date,AQI,NO,NO2,NOx,PM10,PM2.5,Temp,WS
2017-06-07,52.0,254.7,100.5,330.7,21.9,10.6,,
2017-06-08,41.0,163.5,77.4,236.0,23.2,14.0,,
2017-06-09,49.0,198.6,94.3,285.2,23.3,14.4,,
2017-06-10,43.0,113.9,82.4,173.9,34.2,16.3,,
2017-06-11,44.0,76.9,70.2,147.0,32.3,22.1,,
2017-06-12,63.0,340.7,178.4,429.4,25.1,15.4,,
2017-06-13,68.0,276.6,135.6,394.8,21.6,8.9,,
2017-06-14,60.0,89.3,69.6,155.6,36.2,15.1,,
2017-06-15,64.0,183.7,107.4,263.1,34.3,14.6,,
2017-06-16,73.0,174.6,145.8,309.9,23.5,9.6,,
2017-06-17,38.0,236.7,68.2,294.9,26.7,15.6,,
2017-06-18,42.0,42.7,74.8,117.5,18.2,13.3,,
2017-06-19,28.0,17.5,41.7,59.2,21.1,7.2,,
2017-06-20,31.0,40.6,42.5,83.1,28.7,9.0,,
2017-06-21,47.0,22.6,47.9,70.5,34.9,10.2,,
2017-06-22,49.0,23.6,46.3,70.0,24.0,9.5,,
2017-06-23,57.0,230.6,109.6,334.8,18.6,12.1,,
2017-06-24,48.0,179.3,95.8,262.1,20.7,9.6,,
2017-06-25,47.0,135.0,93.8,196.3,26.3,16.1,,
2017-06-26,54.0,195.1,105.8,272.2,26.3,16.6,,
2017-06-27,43.0,154.5,84.7,232.0,27.0,12.8,,
2017-06-28,40.0,201.2,79.1,272.6,23.2,9.6,,
2017-06-29,49.0,174.3,98.4,272.8,26.4,13.3,,
2017-06-30,63.0,433.9,115.4,549.3,51.3,26.7,,
2017-07-01,48.0,21.5,28.2,43.5,33.1,13.4,,
2017-07-02,58.0,124.9,108.5,233.4,16.9,9.7,,
2017-07-03,59.0,208.1,119.7,327.8,26.8,15.4,,
2017-07-04,71.0,298.2,145.6,443.7,27.2,13.2,,
2017-07-05,75.0,273.5,143.1,408.1,28.4,9.4,,
2017-07-06,47.0,142.6,86.8,229.4,22.5,11.9,,
2017-07-07,79.0,233.0,153.9,342.2,18.3,8.3,,
2017-07-08,50.0,112.5,90.9,179.9,20.7,13.0,,
2017-07-09,44.0,158.8,76.9,218.9,23.4,15.1,,
2017-07-10,52.0,169.7,92.8,262.5,21.5,11.3,,
2017-07-11,68.0,207.8,126.5,304.6,18.4,10.3,,
2017-07-12,58.0,196.6,103.1,280.4,19.6,11.3,,
2017-07-13,48.0,133.9,86.6,220.5,24.2,11.1,,
2017-07-14,47.0,112.8,85.6,175.1,22.2,8.7,,
2017-07-15,45.0,137.7,81.2,190.4,41.4,31.3,,
2017-07-16,51.0,115.6,77.0,190.9,33.3,24.7,,
2017-07-17,70.0,234.1,145.0,379.2,27.3,16.1,,
2017-07-18,32.0,115.5,67.8,183.3,33.2,8.4,,
2017-07-19,68.0,156.2,142.9,299.1,26.5,10.6,,
2017-07-20,47.0,141.7,100.7,242.4,26.4,10.7,,
2017-07-21,58.0,243.4,123.4,340.9,25.5,11.5,,
2017-07-22,56.0,210.4,120.2,330.5,31.6,13.9,,
2017-07-23,52.0,147.6,111.3,227.1,21.1,9.7,,
2017-07-24,63.0,239.5,134.4,371.5,21.6,11.4,,
