Date(NZST),Tmax(C),Tmin(C)
2018-03-24,24.1,16.9
2018-03-25,23.5,16.0
2018-03-26,24.7,12.8
2018-03-27,25.2,14.6
2018-03-28,23.5,13.8
2018-03-29,24.6,16.7
2018-03-30,26.6,16.7
2018-03-31,24.6,12.9
2018-04-01,24.7,13.3
2018-04-02,22.6,11.6
2018-04-03,22.7,10.6
2018-04-04,25.2,13.6
2018-04-05,25.6,12.5
2018-04-06,23.4,10.6
2018-04-07,24.7,11.4
2018-04-08,24.2,10.1
2018-04-09,22.4,8.8
2018-04-10,22.5,16.5
2018-04-11,21.6,8.2
2018-04-12,14.7,7.9
2018-04-13,18.4,13.1
2018-04-14,19.9,14.5
2018-04-15,20.8,14.9
2018-04-16,23.2,17.1
2018-04-17,23.2,15.0
2018-04-18,24.4,16.0
2018-04-19,18.9,9.7
2018-04-20,19.9,10.9
2018-04-21,20.6,12.3
2018-04-22,20.9,12.7
2018-04-23,19.9,10.5
2018-04-24,18.3,12.8
2018-04-25,18.4,8.9
2018-04-26,20.6,7.5
2018-04-27,20.9,10.2
2018-04-28,20.4,14.4
2018-04-29,19.5,17.2
2018-04-30,22.8,15.6
2018-05-01,21.1,13.9
2018-05-02,21.5,13.9
2018-05-03,22.2,7.0
2018-05-04,18.2,5.7
2018-05-05,19.8,8.4
2018-05-06,19.3,11.1
2018-05-07,20.6,10.2
2018-05-08,19.0,8.8
2018-05-09,19.7,8.7
2018-05-10,20.9,9.2
2018-05-11,20.0,13.7
2018-05-12,20.5,16.8
2018-05-13,18.9,16.9
2018-05-14,23.4,16.0
2018-05-15,23.7,17.0
2018-05-16,22.1,15.3
2018-05-17,21.6,12.1
2018-05-18,17.4,7.9
2018-05-19,19.3,9.3
2018-05-20,19.6,7.6
2018-05-21,19.8,11.4
2018-05-22,20.2,12.6
2018-05-23,19.4,10.5
2018-05-24,14.9,9.0
2018-05-25,17.2,12.3
2018-05-26,16.5,6.7
2018-05-27,15.8,11.3
2018-05-28,16.6,6.9
2018-05-29,12.6,1.4
2018-05-30,14.2,0.9
2018-05-31,13.9,1.3
2018-06-01,15.2,1.2
2018-06-02,17.0,6.2
2018-06-03,16.4,13.2
2018-06-04,17.0,12.3
2018-06-05,16.9,13.8
2018-06-06,17.0,10.2
2018-06-07,12.8,5.2
2018-06-08,13.2,7.2
2018-06-09,16.5,3.1
2018-06-10,17.1,5.6
2018-06-11,14.9,9.5
2018-06-12,12.9,10.3
2018-06-13,15.0,12.4
2018-06-14,17.1,7.4
2018-06-15,17.4,6.2
2018-06-16,18.1,11.4
2018-06-17,19.4,8.9
2018-06-18,17.8,8.8
2018-06-19,19.2,10.9
2018-06-20,18.6,11.1
2018-06-21,13.0,9.5
2018-06-22,12.6,3.0
2018-06-23,14.8,4.0
2018-06-24,15.9,7.9
2018-06-25,16.9,10.7
2018-06-26,13.2,7.0
2018-06-27,12.5,0.7
2018-06-28,14.3,3.0
2018-06-29,14.7,6.0
2018-06-30,12.6,0.5
2018-07-01,15.2,4.4
2018-07-02,14.3,7.9
2018-07-03,16.5,4.9
2018-07-04,14.1,-0.2
2018-07-05,14.3,4.2
2018-07-06,14.2,4.9
2018-07-07,15.8,4.2
2018-07-08,15.7,6.4
2018-07-09,17.1,11.9
2018-07-10,16.3,7.8
2018-07-11,15.2,3.8
2018-07-12,15.7,5.0
2018-07-13,16.4,2.2
2018-07-14,15.4,5.8
2018-07-15,16.1,12.6
2018-07-16,14.0,8.1
2018-07-17,17.1,5.8
2018-07-18,17.3,5.7
2018-07-19,16.2,7.7
2018-07-20,16.9,5.0
2018-07-21,16.4,4.6
2018-07-22,16.5,7.6
2018-07-23,16.3,4.4
2018-07-24,14.7,3.1
